exit_reason,exit_time,entry_credit,exit_credit,pnl,entry_time,entry_date,expiry,signal,short_offset,hedge_offset,option_type,lot_size
Gap Target Hit,2022-10-27 09:15:00,20.25,-4.7,1247.5,2022-10-25 10:00:00,2022-10-25,2022-10-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-10-27 10:15:00,4.65,8.6,-197.63,2022-10-27 10:00:00,2022-10-27,2022-10-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-10-31 09:15:00,53.05,18.57,1724.12,2022-10-28 10:00:00,2022-10-28,2022-11-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-11-07 09:15:00,48.85,17.1,1587.62,2022-10-31 11:00:00,2022-10-31,2022-11-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2022-11-18 10:15:00,37.9,34.5,170.0,2022-11-11 11:00:00,2022-11-11,2022-11-24,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2022-12-14 10:15:00,76.15,68.1,402.5,2022-12-05 10:00:00,2022-12-05,2022-12-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Trend Reversal,2022-12-14 10:15:00,73.85,68.1,287.5,2022-12-06 11:00:00,2022-12-06,2022-12-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-12-16 09:15:00,64.6,22.61,2099.5,2022-12-15 15:00:00,2022-12-15,2022-12-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-12-23 09:15:00,60.7,21.25,1972.75,2022-12-22 11:00:00,2022-12-22,2022-12-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-12-27 14:15:00,25.35,8.87,823.88,2022-12-27 13:00:00,2022-12-27,2022-12-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-12-28 13:15:00,21.75,7.61,706.88,2022-12-28 13:00:00,2022-12-28,2022-12-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2023-01-03 09:15:00,45.75,84.64,-1944.38,2022-12-30 10:00:00,2022-12-30,2023-01-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2023-01-03 09:15:00,46.15,85.38,-1961.38,2023-01-02 15:00:00,2023-01-02,2023-01-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2023-01-04 09:15:00,47.35,16.57,1538.87,2023-01-03 10:00:00,2023-01-03,2023-01-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2023-01-05 09:15:00,67.6,125.06,-2873.0,2023-01-04 12:00:00,2023-01-04,2023-01-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Trend Reversal,2023-01-09 10:15:00,65.35,73.25,-395.0,2023-01-06 13:00:00,2023-01-06,2023-01-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2023-01-10 09:15:00,37.95,70.21,-1612.88,2023-01-09 11:00:00,2023-01-09,2023-01-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2023-01-17 11:15:00,54.15,59.45,-265.0,2023-01-16 13:00:00,2023-01-16,2023-01-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
